Date,Open,High,Low,Close,Adj Close,Volume
11/26/2012,192.449997,193.369995,191.770004,192.880005,161.459259,5210300
11/27/2012,192.080002,193.050003,191,191.229996,160.078033,3290900
11/28/2012,190.979996,192.039993,189.270004,191.979996,160.705856,3603600
11/29/2012,192.75,192.899994,190.199997,191.529999,160.329178,4077900
11/30/2012,191.75,192,189.5,190.070007,159.10704,4936400
12/3/2012,190.759995,191.300003,188.360001,189.479996,158.613144,3349600
12/4/2012,189.710007,190.75,189.020004,189.360001,158.512695,3990700
12/5/2012,189.009995,189.460007,186.940002,188.649994,157.918335,4202100
12/6/2012,189.169998,190.179993,188.410004,189.699997,158.797272,3216600
12/7/2012,190.139999,192.199997,190.110001,191.949997,160.680786,4091300
12/10/2012,192.169998,193.539993,191.649994,192.619995,161.241608,3438500
12/11/2012,193.179993,194.800003,193.149994,194.199997,162.564209,4144000
12/12/2012,194.600006,194.75,192.460007,192.949997,161.517853,4241900
12/13/2012,192.179993,193.050003,191.369995,191.990005,160.714264,3623200
12/14/2012,191.690002,193.399994,191.259995,191.759995,160.521713,3826900
12/17/2012,191.759995,193.910004,191.759995,193.619995,162.078735,3792400
12/18/2012,193.850006,195.919998,193.839996,195.690002,163.811508,4125900
12/19/2012,195.460007,196.449997,195,195.080002,163.300888,4270500
12/20/2012,194.470001,194.949997,193.160004,194.770004,163.041397,4184500
12/21/2012,193.100006,194.5,191.570007,193.419998,161.911301,8225300
12/24/2012,193.050003,193.830002,192.020004,192.399994,161.057449,1631200
12/26/2012,192.210007,193.529999,190.949997,191.949997,160.680786,2776500
12/27/2012,191.529999,193.279999,190.699997,192.710007,161.31694,3967600
12/28/2012,191.110001,192.220001,189.830002,189.830002,158.906143,3536600
12/31/2012,189.229996,191.679993,188.839996,191.550003,160.345947,4684900
1/2/2013,194.089996,196.350006,193.800003,196.350006,164.363983,4234100
1/3/2013,195.669998,196.289993,194.440002,195.270004,163.459946,3644700
1/4/2013,194.190002,194.460007,192.779999,193.990005,162.388443,3380200
1/7/2013,193.399994,193.779999,192.339996,193.139999,161.676926,2862300
1/8/2013,192.919998,193.300003,191.600006,192.869995,161.450897,3026900
1/9/2013,193.479996,193.490005,191.649994,192.320007,160.990524,3212000
1/10/2013,192.649994,192.960007,191.279999,192.880005,161.459259,3608100
1/11/2013,194.149994,195,192.899994,194.449997,162.773499,3880400
1/14/2013,192.820007,193.279999,191.75,192.619995,161.241608,4172200
1/15/2013,191.309998,192.729996,190.389999,192.5,161.141174,4172100
1/16/2013,192,193.179993,191.350006,192.589996,161.216522,2962900
1/17/2013,193.850006,194.460007,193.240005,193.649994,162.103806,3881600
1/18/2013,194.029999,195,193.800003,194.470001,162.790237,4559600
1/22/2013,194.360001,196.080002,194.009995,196.080002,164.137985,7172300
1/23/2013,203.5,208.580002,203.360001,204.720001,171.370483,12530500
1/24/2013,203.910004,205.059998,203.080002,204.419998,171.11937,4447200
1/25/2013,204.449997,205.179993,204.130005,204.970001,171.579758,3358900
1/28/2013,204.850006,206.220001,204.289993,204.929993,171.546265,2823700
1/29/2013,204.339996,205.729996,203.639999,203.899994,170.684097,3617100
1/30/2013,203.690002,204.880005,203.190002,203.520004,170.365997,2998400
1/31/2013,203.320007,204.470001,202.960007,203.070007,169.989273,3091400
